date_ref,district_ref,total_cases,total_cured,total_deaths,increase_cases,percent_increase_cases
18,59,45857,45441,556,0,0.0
18,60,64673,64101,774,0,0.0
18,61,41708,41253,569,1,0.0024
18,62,44629,44418,626,0,0.0
18,63,12720,12590,183,0,0.0
18,64,107957,107581,1026,0,0.0
18,65,48923,48663,427,0,0.0
18,66,56760,56655,507,0,0.0
18,67,51594,51315,474,0,0.0
18,68,46131,46115,525,0,0.0
18,69,63820,63680,499,0,0.0
18,70,61533,61358,605,0,0.0
18,71,93400,93005,826,0,0.0
18,72,33439,33280,481,0,0.0
18,73,92373,92071,950,0,0.0
18,74,101571,101189,1334,0,0.0
18,75,60431,60447,596,0,0.0
18,76,83080,83324,704,1,0.0012
18,77,134891,134613,1494,1,0.0007
19,1,620057,624835,3989,0,0.0
19,2,44697,44585,468,0,0.0
19,3,45870,46212,243,0,0.0
19,4,73688,73671,582,0,0.0
19,5,46684,46503,429,0,0.0
19,6,31510,31445,293,0,0.0
19,7,52962,53098,437,0,0.0
19,8,60966,60954,601,0,0.0
19,9,44498,44425,351,0,0.0
19,10,93481,94237,411,0,0.0
19,11,73763,74536,305,0,0.0
19,12,50287,50654,282,0,0.0
19,13,21453,21373,236,0,0.0
19,14,85627,86549,796,0,0.0
19,15,23162,23071,250,0,0.0
19,16,39553,39397,438,0,0.0
19,17,33232,33127,292,0,0.0
19,18,21465,21465,246,0,0.0
19,19,31736,31558,385,0,0.0
19,20,43080,42837,541,0,0.0
19,21,22404,22296,228,0,0.0
19,22,36018,36049,447,0,0.0
19,23,93161,93273,730,0,0.0
19,24,32325,32166,318,0,0.0
19,25,36728,36580,315,0,0.0
19,26,23382,23237,284,0,0.0
19,27,20262,20187,293,0,0.0
19,28,30356,30069,634,0,0.0
19,29,39097,39030,579,0,0.0
19,30,31771,31488,506,0,0.0
19,31,52775,52460,612,0,0.0
19,32,51184,50965,556,0,0.0
19,33,50757,50812,526,0,0.0
19,34,31901,31688,380,0,0.0
19,35,43654,43481,540,0,0.0
19,36,50729,50515,503,0,0.0
19,37,54662,54494,465,0,0.0
19,38,42260,42126,451,0,0.0
19,39,39919,39743,424,0,0.0
19,40,79021,79072,553,0,0.0
19,41,31707,31745,240,0,0.0
19,42,83431,83211,580,0,0.0
19,43,35681,35553,325,0,0.0
19,44,49357,48913,577,0,0.0
19,45,39160,39015,287,0,0.0
19,46,50730,50569,601,0,0.0
19,47,48400,48305,409,0,0.0
19,48,83788,83892,664,0,0.0
19,49,46465,46345,440,0,0.0
19,50,64769,64579,525,0,0.0
19,51,40589,40686,428,0,0.0
19,52,47869,47953,448,0,0.0
19,53,30699,30660,280,0,0.0
19,54,42298,42185,385,0,0.0
19,55,51359,51422,384,1,0.0019
19,56,46827,46557,598,0,0.0
19,57,175451,175406,1459,0,0.0
19,58,99924,99677,812,1,0.001
19,59,45857,45442,556,0,0.0
19,60,64673,64103,774,0,0.0
19,61,41708,41253,569,0,0.0
19,62,44629,44419,626,0,0.0
19,63,12720,12590,183,0,0.0
19,64,107957,107586,1026,0,0.0
19,65,48923,48663,427,0,0.0
19,66,56760,56658,507,0,0.0
19,67,51594,51316,474,0,0.0
19,68,46131,46116,525,0,0.0
19,69,63820,63681,499,0,0.0
19,70,61533,61358,605,0,0.0
19,71,93400,93005,826,0,0.0
19,72,33439,33280,481,0,0.0
19,73,92373,92071,950,0,0.0
19,74,101571,101189,1334,0,0.0
