station_id,station_code,district_code
33,44133735-28b0-4c07-a675-f6613a761f8c,CZ0100
34,447beb61-1eda-4cfd-9ba8-d62d17b4278e,CZ0806
35,469782a0-01b7-4932-8b32-8f3f9d67a1e4,CZ0322
36,46eff383-0b9c-4f10-8fa6-c46345326e5c,CZ0322
37,46fd9fcc-d311-402e-a645-56f181bdb3d7,CZ0523
38,492920f2-e2f6-4d29-9b60-b1ec9924d84d,CZ0645
39,4938a85d-84a8-4b1e-bc65-87a6dac5efa5,CZ0514
40,4a444781-6d8f-496e-9da0-5f813f6113a6,CZ0642
41,4afc0d5d-00f0-4165-a5fe-bd82d8f84968,CZ0632
42,4b39139d-22d5-40e3-b752-dfa2d6aca34e,CZ0806
43,4c050cd4-6edf-4b4b-8034-8b731978b216,CZ0207
44,4e098bf0-700e-4bae-bade-d52b29ca5ff1,CZ0806
45,4ea9c79c-ebac-4505-8176-7d22ca45c0d2,CZ0100
46,50db1407-7ea8-47a5-9d06-b5a6f44dc63e,CZ0322
47,54f8c165-fc1d-4493-9da5-91790def7991,CZ0712
48,57932100-0df4-472c-a015-d2b750df5b58,CZ0521
49,5960ec70-2686-4b29-8af0-04a1481e7351,CZ0322
50,5999950a-0e64-4981-bc02-8c4bce24c1e5,CZ0427
51,5a4df8c6-d166-45b6-9665-737267b36910,CZ0315
52,5c30086c-42d4-4e27-b940-2bf80e739739,CZ0100
53,604db149-75cf-455f-8630-a7e4cc2bbc01,CZ0100
54,648f87b6-06e7-49d5-b2a7-2dc31c867ff7,CZ0100
55,65653e1e-fb9e-4f78-9e95-eb7c46d328d5,CZ0632
56,6599aa66-ca02-4816-bc95-5936d5dc2ce3,CZ0100
57,67442fd9-5aa3-4e69-ace2-f2ec243dd8ad,CZ0712
58,67e8578a-1b3c-4cce-b13d-d5419e091757,CZ0806
59,689422fd-24a4-4095-8c0c-6b0a64808de7,CZ0100
60,6cb1fb65-9834-430e-bf22-4e8f4e5705e5,CZ0422
61,70b34b63-c45f-4c06-8bf0-e7899c018e75,CZ0412
62,73bb8a1c-2a4f-48ae-a5c3-5c295ae45d53,CZ0513
63,74087959-c707-4d8e-b5d7-9a2b5ba4844d,CZ0315
64,75945398-f8b9-41f3-b573-7fb727dab176,CZ0513
65,76a174fb-e672-40c5-ae9c-06c50eb4ce7a,CZ0422
66,77079458-38f2-4bff-b983-7f99a07afdc3,CZ0100
67,77d83760-9b2c-46dd-85ce-4bfa618bf63a,CZ0633
68,7b2410b1-e691-4b23-99a3-a52453e6587a,CZ0642
69,7bdb206f-d1a2-4afb-9770-863958ae98f7,CZ0641
70,7c03c0b5-ce98-4b58-a844-4bf51a3811a7,CZ0711
71,7e65f8ba-a68b-4720-bb7e-d1efdca32ba5,CZ0514
72,7f6274a7-e9e7-4917-b200-a937a680a256,CZ0642
73,800e3522-2335-4e5c-bb6e-c219b5667f30,CZ0412
74,85032af2-2893-4ba7-afbc-fe5cdee9a5cb,CZ0722
75,8b003220-6f32-4f21-b7ac-7f59a4836b6a,CZ0323
76,8c388fdf-5cd1-4773-819c-093088aee130,CZ0421
77,8dbd1ffd-cce1-4aa3-9be9-928f8de6fa73,CZ0634
78,9295cb5e-e9ae-4858-97ce-5dadaf99ad72,CZ0100
79,94a422eb-b0c6-4729-9224-5c3cf7c0809a,CZ0806
80,9580ad74-3ffb-45be-a0ec-9a5777c995b3,CZ0100
81,9de63f55-4e38-4c86-93fc-84c539cbcae9,CZ0513
82,9e7182ed-4f86-48a4-86ef-b92a6b08928c,CZ0323
83,a1015ca8-ff92-4189-89b0-04efb8901e0e,CZ0806
84,a10748fc-5d14-4c33-97f9-48ecd7a37ee6,CZ0632
85,a1f7b243-f18c-45a2-8d82-5a3273c687b8,CZ0712
86,aa0a5675-d1ba-4282-9bbf-c36053f0e7c9,CZ0805
87,ae73633d-e60c-4d39-a88a-c26d791c4642,CZ0645
88,b163e60d-3d8f-48d8-afc7-fe9edb6502ba,CZ0209
89,b6f39bb5-9ebf-44be-a1d1-0efacab96703,CZ0532
90,b8908961-8b5d-46d6-ad40-89bceacd7874,CZ0100
91,bb6b9c11-c08e-4a4d-abe3-5e90e086bbcc,CZ0413
92,bd060d74-64dd-45dd-bd06-51f9d6147814,CZ0806
